,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,1stFlrSF,2ndFlrSF,SalePrice,Total Years
1249,0,3,60.0,7200,1,3,988,0,119000,70
1250,0,3,93.0,11160,1,3,2110,0,244000,52
1252,0,3,62.0,9858,1,3,874,0,130000,52
1254,5,3,60.0,6931,1,3,760,896,165400,17
1255,4,4,52.0,6240,1,3,959,408,127500,89
1256,0,3,91.0,14303,1,0,1987,0,301500,26
1257,1,3,56.0,4060,1,3,864,0,99900,98
1258,8,3,59.0,9587,1,0,1166,0,190000,15
1259,0,3,65.0,9750,1,3,1054,0,151000,51
1261,0,3,80.0,9600,1,3,1050,0,128900,64
1263,6,3,60.0,13515,1,3,1060,764,180500,101
1264,11,2,34.0,4060,1,3,1337,0,181000,22
1265,12,1,35.0,3735,1,3,713,739,183900,21
1266,14,4,60.0,10120,1,0,964,925,122000,110
1267,0,3,89.0,13214,1,0,2018,0,378500,12
1269,4,3,78.0,11344,1,3,874,650,144000,62
1273,8,3,124.0,11512,1,0,1357,0,177000,61
1274,4,3,53.0,5362,1,3,661,589,139000,110
1275,10,3,95.0,11345,1,3,928,992,137000,72
1278,5,3,75.0,9473,1,3,1128,903,237000,18
1279,4,0,60.0,7500,1,3,698,430,68400,100
1280,0,3,67.0,9808,1,0,1573,0,227000,18
1281,0,3,50.0,8049,1,0,1339,0,180000,30
1282,0,3,61.0,8800,1,0,1040,0,150500,43
1283,10,3,94.0,9400,1,3,912,912,139000,49
1284,4,3,50.0,9638,1,3,1699,748,169000,101
1285,4,4,50.0,6000,1,3,825,587,132500,81
1288,11,3,40.0,5664,1,0,1659,0,278000,20
1289,5,3,86.0,11065,1,0,1120,850,281000,14
1291,12,4,21.0,1680,1,3,630,672,119500,48
1292,6,4,60.0,6600,1,3,1378,994,107500,128
1293,5,3,78.0,10140,1,3,832,832,162900,44
1294,0,3,60.0,8172,1,3,864,0,115000,65
1295,0,3,70.0,8400,1,3,1052,0,138500,52
1296,0,3,80.0,8700,1,3,1128,0,155000,57
1297,13,4,35.0,3675,1,3,1072,0,140000,15
1298,5,3,313.0,63887,1,2,4692,950,160000,12
1299,0,3,75.0,7500,1,3,1246,0,154000,61
1302,5,3,92.0,10120,1,3,1203,1323,290000,26
1303,0,3,73.0,8688,1,3,1616,0,232000,15
1304,12,4,32.0,3363,1,3,976,732,130000,16
1305,0,3,108.0,13173,1,0,1652,0,325000,14
1306,11,3,48.0,6955,1,0,1368,0,202500,15
1307,0,3,60.0,8072,1,3,990,0,138000,26
1308,0,4,100.0,12000,1,3,1122,0,147000,72
1310,0,3,100.0,17500,1,3,1902,0,335000,61
1311,0,3,68.0,8814,1,3,1274,0,203000,15
1313,5,3,108.0,14774,1,0,1422,1177,333168,21
1314,0,3,60.0,8190,1,3,948,0,119000,66
1315,5,3,85.0,11075,1,3,1092,1020,206900,51
1316,0,3,61.0,10226,1,0,1630,0,295493,12
1317,11,1,47.0,4230,1,3,1352,0,208900,14
1319,0,3,75.0,10215,1,3,948,0,111000,66
1320,0,3,70.0,8400,1,3,1478,0,156500,63
1322,5,3,107.0,10186,1,0,1061,862,190000,28
1323,1,3,50.0,5330,1,3,708,0,82500,80
1324,0,3,75.0,9986,1,3,1795,0,147000,14
1325,1,4,40.0,3636,1,3,796,0,55000,98
1326,1,2,70.0,4270,1,3,774,0,79000,89
1327,0,3,60.0,6600,1,3,816,0,130500,38
1328,4,4,60.0,10440,1,3,1584,1208,256000,100
1329,5,3,63.0,9084,1,0,955,677,176500,22
1330,0,3,85.0,10000,1,3,1588,0,227000,14
1331,8,3,55.0,10780,1,0,954,0,132500,44
1332,0,3,67.0,8877,1,3,816,0,100000,82
1333,4,4,60.0,7200,1,3,803,557,125500,82
1334,12,4,24.0,2368,1,3,765,600,125000,50
1335,0,3,80.0,9650,1,3,1334,0,167900,43
1336,10,3,87.0,9246,1,0,1656,0,135000,47
1337,1,4,153.0,4118,1,0,693,0,52500,79
1338,5,3,95.0,13450,1,0,920,941,200000,18
1339,0,3,120.0,9560,1,0,864,0,128500,48
1340,0,3,70.0,8294,1,3,872,0,123000,49
1341,0,3,66.0,13695,1,3,1114,0,155000,17
1343,4,3,57.0,7558,1,3,1172,741,177000,92
1344,5,3,85.0,11103,1,0,728,728,155835,14
1345,1,4,50.0,6000,1,3,960,0,108500,100
1347,0,3,93.0,15306,1,0,1776,0,283463,14
1349,6,4,50.0,5250,1,3,938,1215,122000,148
1350,10,3,91.0,11643,1,3,1338,1296,200000,51
1351,5,3,70.0,9247,1,0,858,858,171000,58
1352,4,4,50.0,6000,1,3,786,390,134900,83
1353,4,3,56.0,14720,1,0,2053,1185,410000,25
1355,8,3,102.0,10192,1,0,1222,698,170000,52
1359,0,3,129.0,16737,1,3,1980,0,315000,16
1360,6,3,51.0,9842,1,3,990,1611,189000,99
1361,0,3,124.0,16158,1,0,1530,0,260000,15
1363,5,3,73.0,8499,1,0,616,796,156932,14
1364,12,1,30.0,3180,1,3,520,600,144152,15
1366,5,3,68.0,9179,1,0,882,908,193000,21
1367,12,4,41.0,2665,1,3,925,550,127000,43
1369,0,3,48.0,10635,1,1,1668,0,232000,17
1370,4,3,90.0,5400,1,3,840,534,105000,100
1371,8,3,80.0,9600,1,3,1661,0,165500,65
1372,5,3,75.0,9750,1,3,1108,989,274300,22
1374,5,1,85.0,10625,1,3,1026,932,250000,15
1375,0,3,89.0,10991,1,0,1571,0,239000,13
1376,1,3,52.0,6292,1,3,790,0,91000,90
1377,4,3,60.0,10998,1,3,984,620,117000,79
1378,12,4,21.0,1953,1,3,483,504,83000,47
1379,8,3,73.0,9735,1,3,754,640,167500,14
1380,1,3,45.0,8212,1,3,864,0,58500,106
1382,6,4,60.0,7200,1,3,998,764,157000,100
1384,4,3,60.0,9060,1,3,698,560,105000,81
1385,4,4,40.0,5436,1,3,796,358,125500,98
1386,5,3,80.0,16692,1,0,1392,1392,250000,42
1387,4,4,60.0,8520,1,3,1664,862,136000,104
1388,0,3,42.0,14892,1,0,1746,0,377500,14
1389,4,4,60.0,6000,1,3,869,349,131000,79
1390,0,3,70.0,9100,1,3,1525,0,235000,20
1391,10,3,65.0,8944,1,3,1584,0,124000,53
1392,9,3,68.0,7838,1,3,900,0,123000,53
1393,14,4,60.0,10800,1,3,1221,691,163000,115
1394,11,3,53.0,4045,1,3,1500,0,246578,14
1395,5,3,88.0,12665,1,0,1133,1349,281213,15
1397,6,4,51.0,6120,1,3,939,574,137500,100
1398,4,3,60.0,7200,1,3,1136,768,138000,70
1399,4,3,51.0,6171,1,3,1160,448,137450,95
1400,4,4,50.0,6000,1,3,950,208,120000,91
1401,5,3,62.0,7415,1,0,864,729,193000,16
1402,0,3,64.0,6762,1,3,1294,0,193879,14
1403,0,3,49.0,15256,1,0,1464,0,282922,13
1404,4,3,60.0,10410,1,3,694,520,105000,105
1405,11,4,44.0,3842,1,0,1646,0,275000,16
1406,9,3,70.0,8445,1,3,768,0,133000,48
1408,6,4,60.0,7740,1,3,741,622,125500,110
1409,5,3,46.0,20544,1,0,1236,857,215000,34
1410,5,3,79.0,12420,1,3,944,896,230000,19
1411,4,3,80.0,9600,1,3,1112,556,140000,70
1412,10,3,60.0,7200,1,3,1040,0,90000,71
1413,0,3,88.0,10994,1,0,1844,0,257000,15
1414,4,3,64.0,13053,1,3,1053,795,207000,97
1415,11,3,51.0,3635,1,3,1569,0,175900,13
1416,14,4,60.0,11340,1,3,1246,1044,122500,135
1418,0,3,71.0,9204,1,3,1144,0,124000,57
1420,5,3,90.0,11700,1,3,708,708,179900,52
1421,11,3,53.0,4043,1,3,1069,0,127500,43
1422,11,4,37.0,4435,1,3,848,0,136500,17
1425,0,3,80.0,10721,1,0,1252,0,142000,61
1426,5,3,81.0,10944,1,0,1223,904,271000,26
1427,4,3,60.0,10930,1,3,1048,510,140000,75
1428,1,4,60.0,7200,1,3,804,0,119000,80
1430,5,3,60.0,21930,1,2,734,1104,192140,15
1432,1,3,60.0,10800,1,3,968,0,64500,93
1433,5,3,93.0,10261,1,0,962,830,186500,20
1434,0,3,80.0,17400,1,3,1126,0,160000,43
1435,0,3,80.0,8400,1,3,1537,0,174000,58
1436,0,3,60.0,9000,1,3,864,0,120500,49
1437,0,3,96.0,12444,1,3,1932,0,394617,12
1438,0,4,90.0,7407,1,3,1236,0,149700,63
1439,5,3,80.0,11584,1,3,1040,685,197000,41
1440,6,3,79.0,11526,1,0,1423,748,191000,98
1442,5,1,85.0,11003,1,3,1026,981,310000,12
1444,0,3,63.0,8500,1,3,1422,0,179600,16
1445,9,3,70.0,8400,1,3,913,0,129000,54
1447,5,3,80.0,10000,1,3,1220,870,240000,25
1448,4,3,70.0,11767,1,3,796,550,112000,110
1449,13,4,21.0,1533,1,3,630,0,92000,50
1450,10,3,60.0,9000,1,3,896,896,136000,46
1451,0,3,78.0,9262,1,3,1578,0,287090,12
1452,13,4,35.0,3675,1,3,1072,0,145000,15
1453,0,3,90.0,17217,1,3,1140,0,84500,14
1454,0,1,62.0,7500,1,3,1221,0,185000,16
1455,5,3,62.0,7917,1,3,953,694,175000,21
1456,0,3,85.0,13175,1,3,2073,0,210000,42
1457,6,3,66.0,9042,1,3,1188,1152,266500,79
1458,0,3,68.0,9717,1,3,1078,0,142125,70
1459,0,3,75.0,9937,1,3,1256,0,147500,55
